# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles:u'
# Event count (approx.): 73173668235
#
#     Self  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.25%  node-v137.node        [.] (anonymous namespace)::RequestGetMethod(v8::FunctionCallbackInfo<v8::Value> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.25%  node-v137.node        [.] (anonymous namespace)::ResponseCork(v8::FunctionCallbackInfo<v8::Value> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.25%  node-v137.node        [.] uWS::HttpResponse<false>::writeMark()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.25%  node                  [.] v8::TryCatch::~TryCatch()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.25%  node                  [.] Builtins_JSConstructStubGeneric                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.25%  libc.so.6             [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.24%  node                  [.] v8::internal::Builtin_MapPrototypeClear(int, unsigned long*, v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.24%  node                  [.] v8::internal::PerThreadAssertScope<true, (v8::internal::PerThreadAssertType)2>::IsAllowed()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.23%  node                  [.] v8::internal::(anonymous namespace)::IterateObjectCache(v8::internal::Isolate*, std::vector<v8::internal::Tagged<v8::internal::Object>, std::allocator<v8::internal::Tagged<v8::internal::Object> > >*, v8::internal::Root, v8::internal::RootVisitor*)                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.23%  node                  [.] v8::api_internal::DisposeGlobal(unsigned long*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.23%  node                  [.] Builtins_JSEntryTrampoline                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.22%  node                  [.] v8::internal::Factory::CopyPropertyArrayAndGrow(v8::internal::DirectHandle<v8::internal::PropertyArray>, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.22%  libc.so.6             [.] __strncmp_avx2_rtm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.22%  libc.so.6             [.] __memchr_avx2_rtm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.22%  node                  [.] v8::Value::IsFunction() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.22%  node-v137.node        [.] us_socket_is_closed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.22%  node                  [.] v8::HandleScope::~HandleScope()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.22%  node                  [.] v8::internal::TransitionsAccessor::SearchSpecial(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::Map>, v8::internal::Tagged<v8::internal::Symbol>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.22%  node                  [.] v8::internal::FieldIndex::ForPropertyIndex(v8::internal::Tagged<v8::internal::Map>, int, v8::internal::Representation)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.21%  node                  [.] v8::internal::Builtin_JsonStringify(int, unsigned long*, v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.21%  node                  [.] v8::internal::JsonStringifier::Stringify(v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >, v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >, v8::internal::Handle<v8::internal::Object>)                                                                                                             -      -
     0.21%  node                  [.] uv__hrtime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.21%  node                  [.] node::AsyncHooks::push_async_context(double, double, v8::Local<v8::Object>*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.21%  node                  [.] Builtins_KeyedLoadICTrampoline_Megamorphic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.20%  node                  [.] v8::internal::Factory::InitializeJSObjectBody(v8::internal::Tagged<v8::internal::JSObject>, v8::internal::Tagged<v8::internal::Map>, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.20%  node                  [.] v8::internal::TransitionArray::SearchDetailsAndGetTarget(int, v8::internal::PropertyKind, v8::internal::PropertyAttributes)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.20%  node                  [.] v8::internal::OrderedHashTable<v8::internal::OrderedHashMap, 2>::Clear(v8::internal::Isolate*, v8::internal::Handle<v8::internal::OrderedHashMap>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.20%  node                  [.] v8::EscapableHandleScopeBase::EscapableHandleScopeBase(v8::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.20%  node                  [.] void v8::internal::Heap::CopyRange<v8::internal::FullObjectSlot>(v8::internal::Tagged<v8::internal::HeapObject>, v8::internal::FullObjectSlot, v8::internal::FullObjectSlot, int, v8::internal::WriteBarrierMode)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.20%  node                  [.] v8::internal::Builtin_ObjectFreeze(int, unsigned long*, v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.20%  node                  [.] v8::internal::JSObject::TestIntegrityLevel(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSObject>, v8::internal::PropertyAttributes)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.20%  node-v137.node        [.] us_socket_ext@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.20%  node                  [.] v8::internal::JSReceiver::SetProperties(v8::internal::Tagged<v8::internal::HeapObject>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.19%  node                  [.] node::CallbackScope::~CallbackScope()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.19%  node                  [.] v8::internal::LocalHeap::AddGCEpilogueCallback(void (*)(void*), void*, v8::internal::GCCallbacksInSafepoint::GCType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.19%  node                  [.] v8::internal::OrderedHashTable<v8::internal::OrderedHashMap, 2>::Allocate(v8::internal::Isolate*, int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.19%  node-v137.node        [.] us_socket_timeout@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.18%  node                  [.] v8::api_internal::GlobalizeReference(v8::internal::Isolate*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.18%  node                  [.] v8::internal::Heap::NotifyObjectLayoutChangeDone(v8::internal::Tagged<v8::internal::HeapObject>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.18%  node                  [.] Builtins_KeyedLoadIC_Megamorphic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.18%  node                  [.] Builtins_PerformPromiseThen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.17%  node                  [.] v8::internal::ComputeSeededIntegerHash(v8::internal::Isolate*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.17%  node-v137.node        [.] uWS::HttpRouter<uWS::HttpContextData<false>::RouterData>::getUrlSegment(int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.16%  node                  [.] v8::Context::GetNumberOfEmbedderDataFields()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.16%  node                  [.] v8::Array::New(v8::Isolate*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.16%  node                  [.] v8::internal::Execution::TryRunMicrotasks(v8::internal::Isolate*, v8::internal::MicrotaskQueue*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.16%  node                  [.] v8::internal::TransitionsAccessor::SearchSpecial(v8::internal::Tagged<v8::internal::Symbol>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.16%  node                  [.] v8::internal::SaveContext::SaveContext(v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.16%  node                  [.] v8::internal::JsonStringifier::InitializeReplacer(v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >)                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.16%  node-v137.node        [.] us_loop_ext                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.16%  node                  [.] uv__io_poll                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.15%  node-v137.node        [.] uWS::HttpContext<false>::init()::{lambda(us_socket_t*, char*, int)#1}::_FUN(us_socket_t*, char*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.15%  node-v137.node        [.] us_socket_is_closed@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.15%  node-v137.node        [.] us_loop_ext@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.15%  node                  [.] Builtins_FulfillPromise                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.15%  node                  [.] Builtins_WeakMapGet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.15%  node                  [.] v8::internal::RootScavengeVisitor::VisitRootPointer(v8::internal::Root, char const*, v8::internal::FullObjectSlot)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.15%  node                  [.] Builtins_CEntry_Return1_ArgvOnStack_BuiltinExit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.14%  node                  [.] v8::internal::(anonymous namespace)::SetInternalizedReference(v8::internal::Isolate*, v8::internal::Tagged<v8::internal::String>, v8::internal::Tagged<v8::internal::String>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.14%  node                  [.] Builtins_FastNewObject                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.14%  node                  [.] Builtins_KeyedLoadICTrampoline                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
