# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles:u'
# Event count (approx.): 73173668235
#
#     Self  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.64%  node-v137.node        [.] (anonymous namespace)::PromoteResponse(v8::FunctionCallbackInfo<v8::Value> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.62%  node                  [.] node::async_context_frame::set(v8::Isolate*, v8::Local<v8::Value>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.61%  node                  [.] v8::internal::JsonStringify(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >, v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >, v8::internal::Handle<v8::internal::Object>)                                                                                                  -      -
     0.60%  node                  [.] v8::internal::JSObject::GetHeaderSize(v8::internal::InstanceType, bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.59%  node                  [.] v8::internal::GlobalHandles::Create(v8::internal::Tagged<v8::internal::Object>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.59%  libc.so.6             [.] __memcmp_avx2_movbe_rtm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.59%  node                  [.] Builtins_RunMicrotasks                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.56%  node                  [.] node::timers::BindingData::FastToggleTimerRef(v8::Local<v8::Object>, bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.56%  node                  [.] v8::Context::Global()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.55%  node                  [.] v8::internal::MaybeHandle<v8::internal::String> v8::internal::(anonymous namespace)::NewStringFromBytes<v8::internal::Utf8Decoder, v8::internal::Factory::NewStringFromUtf8(v8::base::Vector<unsigned char const>, unibrow::Utf8Variant, v8::internal::AllocationType)::{lambda()#1}>(v8::internal::Isolate*, v8::internal::Factory::NewStringFromUtf8(v8::base::Vector<unsigned char const>, unibrow::Utf8Variant, v8::internal::AllocationType)::{lambda()#1}, v8::internal::AllocationType, v8::internal::MessageTemplate) [clone .constprop.0]                                                                                                                                                                 -      -
     0.54%  node-v137.node        [.] ofats::any_detail::handler_traits<void, uWS::HttpResponse<false>*, uWS::HttpRequest*>::small_handler<(anonymous namespace)::RegisterHttpRoute(v8::FunctionCallbackInfo<v8::Value> const&, (anonymous namespace)::HttpMethod, char const*)::{lambda(uWS::HttpResponse<false>*, uWS::HttpRequest*)#1}>::call(ofats::any_detail::storage&, uWS::HttpResponse<false>*, uWS::HttpRequest*) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                          -      -
     0.53%  node                  [.] v8::internal::MicrotaskQueue::RunMicrotasks(v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.52%  node-v137.node        [.] uWS::HttpRouter<uWS::HttpContextData<false>::RouterData>::executeHandlers(uWS::HttpRouter<uWS::HttpContextData<false>::RouterData>::Node*, int, uWS::HttpContextData<false>::RouterData&) [clone .constprop.0] [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.51%  node                  [.] v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<true>(v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >, bool, v8::internal::Handle<v8::internal::Object>)                                                                                                                                                                                                                                                                                                                   -      -
     0.51%  [JIT] tid 313537      [.] JS:*'reset file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/body-parser.js:388:8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.51%  node                  [.] v8::internal::TransitionsAccessor::IsMatchingMap(v8::internal::Tagged<v8::internal::Map>, v8::internal::Tagged<v8::internal::Name>, v8::internal::PropertyKind, v8::internal::PropertyAttributes)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.50%  node                  [.] Builtins_CreateObjectWithoutProperties                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.50%  node                  [.] v8::internal::Handle<v8::internal::FixedArray> v8::internal::Factory::CopyArrayWithMap<v8::internal::FixedArray>(v8::internal::DirectHandle<v8::internal::FixedArray>, v8::internal::DirectHandle<v8::internal::Map>, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.47%  node                  [.] v8::String::WriteUtf8V2(v8::Isolate*, char*, unsigned long, int, unsigned long*) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
