# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles:u'
# Event count (approx.): 73640612235
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.21%  node                  [.] v8::internal::Object::StrictEquals(v8::internal::Tagged<v8::internal::Object>, v8::internal::Tagged<v8::internal::Object>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.21%  node                  [.] v8::internal::Isolate::ClearKeptObjects()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.21%  node                  [.] v8::internal::JSObject::IsExtensible(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSObject>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.20%  node                  [.] v8::HandleScope::~HandleScope()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.20%  node                  [.] v8::internal::DirectHandle<v8::internal::NameDictionary> v8::internal::Dictionary<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::Add<v8::internal::Isolate, v8::internal::DirectHandle, (v8::internal::AllocationType)0>(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::NameDictionary>, v8::internal::DirectHandle<v8::internal::Name>, v8::internal::DirectHandle<v8::internal::Object>, v8::internal::PropertyDetails, v8::internal::InternalIndex*)                                                                                                                                                                                       -      -
     0.20%  node                  [.] v8::internal::DirectHandle<v8::internal::NameDictionary> v8::internal::BaseNameDictionary<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::Add<v8::internal::DirectHandle>(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::NameDictionary>, v8::internal::DirectHandle<v8::internal::Name>, v8::internal::DirectHandle<v8::internal::Object>, v8::internal::PropertyDetails, v8::internal::InternalIndex*)                                                                                                                                                                                                                                       -      -
     0.20%  node                  [.] v8::internal::MicrotaskQueue::PerformCheckpoint(v8::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.20%  node                  [.] v8::internal::Object::TransitionAndWriteDataProperty(v8::internal::LookupIterator*, v8::internal::DirectHandle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::Maybe<v8::internal::ShouldThrow>, v8::internal::StoreOrigin)                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.20%  node                  [.] v8::internal::JsonStringifier::Stringify(v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >, v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >, v8::internal::Handle<v8::internal::Object>)                                                                             -      -
     0.20%  node                  [.] v8::internal::Factory::InitializeJSObjectFromMap(v8::internal::Tagged<v8::internal::JSObject>, v8::internal::Tagged<v8::internal::Object>, v8::internal::Tagged<v8::internal::Map>, v8::internal::NewJSObjectType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.20%  node                  [.] v8::internal::FactoryBase<v8::internal::Factory>::NewFixedArrayWithMap(v8::internal::DirectHandle<v8::internal::Map>, int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.19%  node                  [.] Builtins_JSEntry                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.18%  node                  [.] v8::Context::GetNumberOfEmbedderDataFields()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.18%  node                  [.] v8::internal::JSObject::CheckIfCanDefineAsConfigurable(v8::internal::Isolate*, v8::internal::LookupIterator*, v8::internal::DirectHandle<v8::internal::Object>, v8::Maybe<v8::internal::ShouldThrow>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.18%  node                  [.] v8::internal::Object::AddDataProperty(v8::internal::LookupIterator*, v8::internal::DirectHandle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::Maybe<v8::internal::ShouldThrow>, v8::internal::StoreOrigin, v8::internal::EnforceDefineSemantics)                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.18%  node                  [.] v8::internal::JSFunction::EnsureHasInitialMap(v8::internal::DirectHandle<v8::internal::JSFunction>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.18%  node                  [.] v8::internal::SaveContext::SaveContext(v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.18%  node                  [.] v8::Object::New(v8::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.18%  libc.so.6             [.] __memchr_avx2_rtm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.17%  node                  [.] v8::internal::HashTable<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::FindInsertionEntry(v8::internal::PtrComprCageBase, v8::internal::ReadOnlyRoots, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.17%  node                  [.] v8::Array::Length() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.17%  ld-linux-x86-64.so.2  [.] __tls_get_addr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.16%  node                  [.] Builtins_StringEqual                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.16%  node                  [.] v8::internal::Execution::TryRunMicrotasks(v8::internal::Isolate*, v8::internal::MicrotaskQueue*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.16%  node                  [.] Builtins_JsonStringify                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.16%  libc.so.6             [.] __memset_avx2_unaligned_erms_rtm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.16%  libc.so.6             [.] clock_gettime@@GLIBC_2.17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.16%  node                  [.] v8::internal::Builtin_ObjectFreeze(int, unsigned long*, v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.16%  node                  [.] v8::internal::MicrotaskQueue::OnCompleted(v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.15%  [JIT] tid 240351      [.] JS:*'#cancel file:///root/binding-perf-v411/node_modules/@swarmmachina/swm-core/src/body-parser.js:354:10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.15%  node-v137.node        [.] 0x0000000000098fdb                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.14%  node                  [.] bool v8::internal::JsonStringifier::TrySerializeSimplePropertyKey<unsigned char>(v8::internal::Tagged<v8::internal::String>, v8::internal::PerThreadAssertScopeEmpty<false, (v8::internal::PerThreadAssertType)1, (v8::internal::PerThreadAssertType)2> const&) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.14%  node                  [.] uv_ref                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.14%  node                  [.] v8::Value::NumberValue(v8::Local<v8::Context>) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.14%  node                  [.] v8::internal::Dictionary<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::SetEntry(v8::internal::InternalIndex, v8::internal::Tagged<v8::internal::Object>, v8::internal::Tagged<v8::internal::Object>, v8::internal::PropertyDetails)                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.13%  node                  [.] void v8::internal::LookupIterator::Start<false>()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.13%  node-v137.node        [.] 0x0000000000098f40                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.13%  node                  [.] v8::internal::String::ComputeAndSetRawHash()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.12%  node                  [.] uv__io_poll                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.12%  node                  [.] v8::internal::OrderedHashTable<v8::internal::OrderedHashMap, 2>::Clear(v8::internal::Isolate*, v8::internal::Handle<v8::internal::OrderedHashMap>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.12%  node                  [.] v8::internal::String::SlowEquals(v8::internal::Tagged<v8::internal::String>) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.12%  node-v137.node        [.] 0x000000000009930d                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.12%  node                  [.] v8::internal::MayHaveInterestingProperties(v8::internal::Isolate*, v8::internal::Tagged<v8::internal::JSReceiver>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.12%  node                  [.] v8::internal::LocalHeap::AddGCEpilogueCallback(void (*)(void*), void*, v8::internal::GCCallbacksInSafepoint::GCType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.12%  node-v137.node        [.] 0x000000000009904a                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.12%  libstdc++.so.6.0.33   [.] operator delete(void*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.12%  libm.so.6             [.] __floor_sse41                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.11%  node                  [.] v8::HandleScope::CreateHandle(v8::internal::Isolate*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.11%  node                  [.] v8::internal::Factory::NewJSArrayWithUnverifiedElements(v8::internal::DirectHandle<v8::internal::FixedArrayBase>, v8::internal::ElementsKind, int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.11%  node                  [.] v8::internal::TransitionArray::SearchDetailsAndGetTarget(int, v8::internal::PropertyKind, v8::internal::PropertyAttributes)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.11%  node                  [.] v8::internal::HeapObjectLayout::SizeFromMap(v8::internal::Tagged<v8::internal::Map>) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.11%  node                  [.] v8::internal::RootScavengeVisitor::VisitRootPointer(v8::internal::Root, char const*, v8::internal::FullObjectSlot)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.11%  node                  [.] v8::internal::Builtin_MapPrototypeClear(int, unsigned long*, v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.11%  node                  [.] v8::internal::JSObject::TestIntegrityLevel(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSObject>, v8::internal::PropertyAttributes)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.11%  node                  [.] v8::Array::New(v8::Isolate*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.11%  node                  [.] v8::internal::LocalHeap::RemoveGCEpilogueCallback(void (*)(void*), void*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.11%  node                  [.] Builtins_JSEntryTrampoline                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.11%  node                  [.] v8::Function::Call(v8::Local<v8::Context>, v8::Local<v8::Value>, int, v8::Local<v8::Value>*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.11%  node                  [.] v8::internal::Heap::NotifyObjectLayoutChangeDone(v8::internal::Tagged<v8::internal::HeapObject>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.10%  node                  [.] std::deque<v8::Local<v8::Object>*, std::allocator<v8::Local<v8::Object>*> >::_M_default_append(unsigned long) [clone .part.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.10%  node-v137.node        [.] 0x00000000000a5635                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.10%  node-v137.node        [.] 0x0000000000098b27                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.10%  node                  [.] v8::internal::JSReceiver::SetIntegrityLevel(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSReceiver>, v8::internal::PropertyAttributes, v8::internal::ShouldThrow)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.10%  node                  [.] v8::internal::JsonStringifier::InitializeReplacer(v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >)                                                                                                                                                                                                                                                                                                                                                                         -      -


#
# (Cannot load tips.txt file, please install perf!)
#
