# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles:u'
# Event count (approx.): 73640612235
#
#     Self  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.58%  [JIT] tid 240351      [.] JS:*'insert node:internal/timers:387:16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.55%  node                  [.] node::InternalCallbackScope::InternalCallbackScope(node::Environment*, std::variant<v8::Local<v8::Object>, v8::Local<v8::Object>*>, node::async_context const&, int, v8::Local<v8::Value>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.53%  node                  [.] v8::internal::TransitionsAccessor::IsMatchingMap(v8::internal::Tagged<v8::internal::Map>, v8::internal::Tagged<v8::internal::Name>, v8::internal::PropertyKind, v8::internal::PropertyAttributes)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.52%  node                  [.] v8::internal::HeapObject::SizeFromMap(v8::internal::Tagged<v8::internal::Map>) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.52%  node                  [.] v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<true>(v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >, bool, v8::internal::Handle<v8::internal::Object>)                                                                                                                                                                                                                                                                                   -      -
     0.52%  [JIT] tid 240351      [.] JS:* file:///root/binding-perf-v411/node_modules/@swarmmachina/swm-core/src/http-context.js:982:19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.51%  node                  [.] Builtins_RunMicrotasks                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.49%  node                  [.] v8::api_internal::GetFunctionTemplateData(v8::Isolate*, v8::Local<v8::Data>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.48%  libc.so.6             [.] _int_free                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.48%  node                  [.] void v8::internal::Utf8DecoderBase<v8::internal::Utf8Decoder>::Decode<unsigned char>(unsigned char*, v8::base::Vector<unsigned char const>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.47%  node                  [.] v8::TryCatch::TryCatch(v8::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.46%  node                  [.] Builtins_CreateObjectWithoutProperties                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.45%  node                  [.] v8::Isolate::GetCurrentContext()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.45%  node                  [.] v8::internal::Factory::NewStringFromUtf8(v8::base::Vector<char const>, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.45%  node                  [.] v8::internal::LookupIterator::ApplyTransitionToDataProperty(v8::internal::DirectHandle<v8::internal::JSReceiver>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.45%  node                  [.] v8::String::WriteUtf8V2(v8::Isolate*, char*, unsigned long, int, unsigned long*) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.44%  node                  [.] v8::HandleScope::HandleScope(v8::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.44%  node                  [.] void v8::internal::CopyChars<unsigned char, unsigned char>(unsigned char*, unsigned char const*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.43%  node                  [.] Builtins_CallFunction_ReceiverIsAny                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
