# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles:u'
# Event count (approx.): 72707943828
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.30%  node                  [.] void v8::internal::CopyChars<unsigned char, unsigned char>(unsigned char*, unsigned char const*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.30%  node-v137.node        [.] (anonymous namespace)::GetResponse(v8::FunctionCallbackInfo<v8::Value> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.30%  node-v137.node        [.] uWS::HttpContext<false>::init()::{lambda(us_socket_t*, char*, int)#1}::_FUN(us_socket_t*, char*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.30%  node-v137.node        [.] (anonymous namespace)::CallJs(v8::Isolate*, v8::Local<v8::Function>, int, v8::Local<v8::Value>*) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.29%  node                  [.] Builtins_WeakMapLookupHashIndex                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.28%  libstdc++.so.6.0.33   [.] operator new(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.28%  node                  [.] v8::internal::MaybeHandle<v8::internal::String> v8::internal::(anonymous namespace)::NewStringFromBytes<v8::internal::Utf8Decoder, v8::internal::Factory::NewStringFromUtf8(v8::base::Vector<unsigned char const>, unibrow::Utf8Variant, v8::internal::AllocationType)::{lambda()#1}>(v8::internal::Isolate*, v8::internal::Factory::NewStringFromUtf8(v8::base::Vector<unsigned char const>, unibrow::Utf8Variant, v8::internal::AllocationType)::{lambda()#1}, v8::internal::AllocationType, v8::internal::MessageTemplate) [clone .constprop.0]                                                                 -      -
     0.28%  node                  [.] uv_ref                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.26%  node                  [.] v8::internal::TimerEventScope<v8::internal::TimerEventExecute>::LogTimerEvent(v8::LogEventStatus)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.26%  node-v137.node        [.] uWS::HttpResponse<false>::writeMark()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.26%  node-v137.node        [.] us_socket_timeout                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.26%  node                  [.] v8::internal::SaveContext::SaveContext(v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.26%  node-v137.node        [.] us_loop_ext                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.26%  node-v137.node        [.] ofats::any_detail::any_invocable_impl<void, false, uWS::WebSocket<false, true, (anonymous namespace)::PerSocketData>*>::operator=(ofats::any_detail::any_invocable_impl<void, false, uWS::WebSocket<false, true, (anonymous namespace)::PerSocketData>*>&&) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                        -      -
     0.25%  node                  [.] Builtins_PerformPromiseThen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
